iter	Passed	Remaining
257	1611	4633
258	1616	4625
259	1622	4617
260	1628	4610
261	1633	4601
262	1639	4593
263	1644	4583
264	1650	4578
265	1656	4570
266	1661	4561
267	1667	4554
268	1672	4546
269	1679	4539
270	1685	4533
271	1692	4528
272	1697	4520
273	1702	4510
274	1708	4502
275	1713	4496
276	1720	4490
277	1726	4485
278	1733	4479
279	1738	4469
280	1743	4460
281	1750	4456
282	1755	4446
283	1762	4442
284	1768	4436
285	1774	4430
286	1780	4422
287	1785	4413
288	1791	4407
289	1796	4398
290	1801	4389
291	1808	4383
292	1813	4375
293	1819	4368
294	1824	4361
295	1831	4355
296	1836	4346
297	1841	4337
298	1847	4331
299	1853	4325
300	1859	4318
301	1864	4309
302	1870	4302
303	1876	4296
304	1881	4288
305	1888	4282
306	1893	4274
307	1898	4265
308	1904	4260
309	1910	4253
310	1916	4245
311	1922	4238
312	1928	4233
313	1935	4227
314	1940	4220
315	1946	4213
316	1952	4206
317	1957	4198
318	1964	4192
319	1969	4185
320	1976	4181
321	1981	4173
322	1989	4169
323	1993	4160
324	1999	4152
325	2007	4149
326	2012	4141
327	2018	4134
328	2024	4129
329	2030	4121
330	2034	4113
331	2041	4107
332	2047	4100
333	2052	4092
334	2057	4084
335	2063	4078
336	2069	4070
337	2075	4065
338	2083	4062
339	2088	4054
340	2094	4046
341	2100	4040
342	2105	4033
343	2112	4027
344	2117	4019
345	2123	4014
346	2129	4007
347	2134	3998
348	2140	3992
349	2146	3986
350	2152	3979
351	2157	3971
352	2163	3965
353	2169	3958
354	2176	3953
355	2182	3947
356	2187	3940
357	2193	3933
358	2199	3927
359	2206	3922
360	2212	3916
361	2218	3909
362	2223	3902
363	2228	3893
364	2234	3887
365	2239	3879
366	2245	3873
367	2252	3868
368	2258	3862
369	2264	3856
370	2270	3848
371	2276	3842
372	2283	3838
373	2290	3833
374	2295	3826
375	2302	3821
376	2309	3816
377	2315	3809
378	2320	3802
379	2325	3794
380	2332	3788
381	2337	3781
382	2343	3775
383	2348	3767
384	2353	3759
385	2359	3752
386	2364	3745
387	2369	3737
388	2376	3732
389	2382	3725
390	2389	3722
391	2396	3717
392	2401	3708
393	2407	3702
394	2414	3697
395	2420	3692
396	2426	3685
397	2432	3679
398	2438	3673
399	2445	3668
400	2451	3661
401	2456	3654
402	2461	3646
403	2467	3640
404	2473	3634
405	2478	3626
406	2483	3618
407	2489	3611
408	2497	3608
409	2504	3604
410	2510	3598
411	2516	3591
412	2521	3583
413	2526	3576
414	2533	3571
415	2539	3565
416	2545	3558
417	2550	3551
418	2555	3544
419	2560	3535
420	2566	3529
421	2571	3522
422	2576	3514
423	2582	3508
424	2587	3501
