iter	Logloss
344	0.5318090001
345	0.5317814188
346	0.5317666184
347	0.5317573145
348	0.5317297042
349	0.5317125947
350	0.5316928275
351	0.5316801136
352	0.5316734143
353	0.531666986
354	0.5316648912
355	0.5316587582
356	0.5316364178
357	0.531615456
358	0.531607271
359	0.5315566415
360	0.5315334899
361	0.5315015564
362	0.5314824803
363	0.5314759512
364	0.5314478066
365	0.5314373312
366	0.5314133701
367	0.5313680659
368	0.5313583475
369	0.5313448027
370	0.5313341483
371	0.5313241458
372	0.5313213817
373	0.5312935264
374	0.5312691973
375	0.5312588692
376	0.5312439055
377	0.5312311152
378	0.5312008965
379	0.5311716588
380	0.5311584519
381	0.5311418782
382	0.5311178874
383	0.531107289
384	0.531031152
385	0.5310203758
386	0.5310033092
387	0.5309879813
388	0.530948438
389	0.5309359692
390	0.5309241927
391	0.5309186101
392	0.53087172
393	0.5308700658
394	0.5308510642
395	0.5308113871
396	0.5307914623
397	0.5307911404
398	0.530760717
399	0.5307539727
400	0.5307535223
401	0.5307372022
402	0.5307317577
403	0.5307134269
404	0.5306889071
405	0.5306721511
406	0.5306517373
407	0.5306336306
408	0.5306190291
409	0.5306128707
410	0.5305993241
411	0.5305921356
412	0.5305843354
413	0.5305585043
414	0.5305378274
415	0.5305310502
416	0.5305177675
417	0.5305022046
418	0.5304984681
419	0.5304808377
420	0.5304800566
421	0.5304685605
422	0.5304682374
423	0.5304472812
424	0.5304311009
425	0.5304053659
426	0.5303954811
427	0.5303706986
428	0.5303674285
429	0.5303250726
430	0.5302912145
431	0.530283818
432	0.5302714092
433	0.5302556445
434	0.5302474347
435	0.5301860153
436	0.5301688683
437	0.5301668507
438	0.5301487027
439	0.5301406518
440	0.5301245112
441	0.5300943269
442	0.5300828515
443	0.5300669294
444	0.5300497689
445	0.5300465769
446	0.5300397572
447	0.5300319045
448	0.530022907
449	0.5300169024
450	0.5300119411
451	0.5299977356
452	0.5299729489
453	0.5299626504
454	0.5299526196
455	0.5299410216
456	0.529917275
457	0.5299123065
458	0.5299081361
459	0.5299020026
460	0.5298792254
461	0.5298684787
462	0.5298573939
463	0.5298362189
464	0.5298199881
465	0.5298076765
466	0.5297785579
467	0.5297663894
468	0.5297615899
469	0.5297482251
470	0.5297302047
471	0.5297176189
472	0.529706331
473	0.529705538
474	0.5296958434
475	0.5296583751
476	0.5296404456
477	0.5296235296
478	0.5296092175
479	0.5295916352
480	0.529572227
481	0.5295674944
482	0.5295522812
483	0.5295339039
484	0.5295268559
485	0.5295097095
486	0.5295094406
487	0.5294886999
488	0.5294678765
489	0.529464676
490	0.5294408428
491	0.5294262683
492	0.5293834567
493	0.5293410007
494	0.5293068611
495	0.5293019753
496	0.5293013335
497	0.5292955414
498	0.5292888224
499	0.5292762405
